,Number of attempt,Reward,Time taken,Number of actions
0,0,-242.0,298.26247906684875,742
1,1,-144.0,300.5393376350403,644
2,2,-613.0,300.3039200305939,613
3,3,-30.0,300.8044373989105,531
4,4,-60.0,300.57988381385803,560
5,5,1010.0,300.616064786911,491
6,6,-97.0,325.50764513015747,598
7,7,13.0,300.80287432670593,488
8,8,-35.0,300.6473660469055,535
9,9,39.0,300.59404397010803,461
10,10,95.0,300.6723084449768,405
11,11,100.0,300.9992690086365,401
12,12,101.0,300.6563003063202,399
13,13,108.0,301.0620322227478,393
14,14,82.0,300.787725687027,419
15,15,0.0,300.6484942436218,0
16,16,-512.0,300.90783166885376,513
17,17,19.0,300.7635762691498,482
18,18,-19.0,300.6930685043335,519
19,19,-25.0,300.91784477233887,526
20,20,-40.0,300.6744022369385,541
21,21,-29.0,300.4882388114929,529
22,22,-37.0,300.70530343055725,538
23,23,477.0,300.8156864643097,524
24,24,-5.0,300.57082867622375,505
25,25,-2.0,300.5937731266022,502
26,26,-21.0,300.89405965805054,522
27,27,-4.0,300.6362371444702,505
28,28,122.0,301.249041557312,379
29,29,-406.0,301.07571959495544,407
